sentence#,word,label
0,Koh-e,O
0,Bandaka,Mountain
0,offers,O
0,breathtaking,O
0,views,O
0,of,O
0,the,O
0,valley,O
1,Lunkho,Mountain
1,stands,O
1,tall,O
1,a,O
1,silent,O
1,guardian,O
1,of,O
1,the,O
1,landscape,O
2,Noshaq,Mountain
2,the,O
2,majestic,O
2,peak,O
2,touches,O
2,the,O
2,sky,O
2,with,O
2,pride,O
3,Baba,Mountain
3,Tungi,Mountain
3,is,O
3,a,O
3,mystical,O
3,mountain,O
3,with,O
3,ancient,O
3,stories,O
4,Koh-e,O
4,Tuloksa,O
4,hides,O
4,secrets,O
4,in,O
4,its,O
4,rugged,O
4,terrain,O
5,Nekshugune,O
5,Ghar,O
5,a,O
5,name,O
5,echoing,O
5,through,O
5,the,O
5,ages,O
6,Sakar,Mountain
6,Sar,O
6,watches,O
6,over,O
6,the,O
6,lush,O
6,greenery,O
6,below,O
7,Koh-e,O
7,Sokhtah,O
7,where,O
7,the,O
7,sun,O
7,kisses,O
7,the,O
7,rocky,O
7,slopes,O
8,Koh-e,O
8,Sangbunah,O
8,whispers,O
8,tales,O
8,of,O
8,forgotten,O
8,civilizations,O
9,Koh-e,O
9,Kasha,O
9,where,O
9,the,O
9,wind,O
9,dances,O
9,through,O
9,the,O
9,valleys,O
10,Koh-e,O
10,Dasht-e,Mountain
10,Kalan,Mountain
10,a,O
10,wilderness,O
10,waiting,O
10,to,O
10,be,O
10,explored,O
11,Koh-e,O
11,Kan-e,O
11,Zamch,Mountain
11,a,O
11,peak,O
11,that,O
11,touches,O
11,the,O
11,clouds,O
12,Koh-e,O
12,Daygtora,O
12,Shan,O
12,a,O
12,symbol,O
12,of,O
12,resilience,O
12,and,O
12,strength,O
13,Koh-e,O
13,Chap,Mountain
13,Darah,Mountain
13,where,O
13,rivers,O
13,carve,O
13,paths,O
13,through,O
13,the,O
13,mountains,O
14,Koh-e,O
14,Rubaghon,O
14,a,O
14,place,O
14,where,O
14,solitude,O
14,finds,O
14,its,O
14,home,O
15,Koh-e,O
15,Amlan,O
15,a,O
15,mountain,O
15,that,O
15,stands,O
15,in,O
15,silent,O
15,contemplation,O
16,Koh-e,O
16,Kharghan,Mountain
16,where,O
16,echoes,O
16,of,O
16,ancient,O
16,rituals,O
16,linger,O
17,Kotal-e,O
17,Piw,O
17,a,O
17,hidden,O
17,gem,O
17,in,O
17,the,O
17,vast,O
17,wilderness,O
18,Koh-e,O
18,Kirichak,Mountain
18,a,O
18,peak,O
18,touched,O
18,by,O
18,the,O
18,colors,O
18,of,O
18,dawn,O
19,Koh-e,O
19,Khakistarak,O
19,Dahanak,O
19,a,O
19,name,O
19,etched,O
19,in,O
19,the,O
19,annals,O
19,of,O
19,time,O
20,Koh-e,O
20,Maghzar-e,O
20,Muriar,O
20,Beg,Mountain
20,a,O
20,testament,O
20,to,O
20,natures,O
20,artistry,O
21,Koh-e,O
21,Silikayik,O
21,a,O
21,mountain,O
21,with,O
21,a,O
21,mystical,O
21,aura,O
22,Koh-e,O
22,Madan-e,O
22,Surb,Mountain
22,where,O
22,the,O
22,earth,O
22,meets,O
22,the,O
22,heavens,O
23,Pas-e,Mountain
23,Ambak,Mountain
23,a,O
23,serene,O
23,spot,O
23,for,O
23,reflection,O
23,and,O
23,introspection,O
24,Koh-e,O
24,Sar-e,Mountain
24,Arus,O
24,a,O
24,witness,O
24,to,O
24,love,O
24,stories,O
24,written,O
24,in,O
24,the,O
24,stars,O
25,Koh-e,O
25,Hasan,Mountain
25,a,O
25,peak,O
25,that,O
25,commands,O
25,respect,O
25,and,O
25,admiration,O
26,Koh-e,O
26,Khash,Mountain
26,Gaw,O
26,where,O
26,the,O
26,wild,O
26,winds,O
26,sing,O
26,ancient,O
26,melodies,O
27,Koh-e,O
27,Kaj,Mountain
27,Darah,Mountain
27,a,O
27,gateway,O
27,to,O
27,the,O
27,enchanting,O
27,unknown,O
28,Koh-e,O
28,Kajamulan,O
28,a,O
28,mountain,O
28,that,O
28,cradles,O
28,the,O
28,dreams,O
28,of,O
28,many,O
29,Ghat-e,O
29,Bukhar,O
29,a,O
29,passageway,O
29,to,O
29,lands,O
29,unexplored,O
30,Koh-e,O
30,Sar-e,Mountain
30,Sobay,O
30,standing,O
30,tall,O
30,against,O
30,the,O
30,test,O
30,of,O
30,time,O
31,Koh-e,O
31,Bazingar,O
31,a,O
31,spectacle,O
31,that,O
31,captures,O
31,the,O
31,imagination,O
32,Koh-e,O
32,Sar-e,Mountain
32,Oshnogan,O
32,a,O
32,mountain,O
32,that,O
32,echoes,O
