sentence#,word,label
5212,Hora,O
5212,Chabanchyk,Mountain
5212,and,O
5212,Hora,O
5212,Kachyk-Saraman,Mountain
5212,stood,O
5212,tall,O
5212,together,O
5213,Hora,O
5213,Orta-Tau,Mountain
5213,shared,O
5213,a,O
5213,peaceful,O
5213,moment,O
5213,with,O
5213,Hora,O
5213,Bila,Mountain
5214,Hora,O
5214,Saynyn-Burnu,Mountain
5214,climbed,O
5214,the,O
5214,slopes,O
5214,of,O
5214,Hora,O
5214,Chombay,Mountain
5215,Hora,O
5215,Buchyna,Mountain
5215,watched,O
5215,the,O
5215,sunrise,O
5215,with,O
5215,Hora,O
5215,Aylanmakaya,Mountain
5216,Hora,O
5216,Kuba-Burun,Mountain
5216,embraced,O
5216,the,O
5216,beauty,O
5216,of,O
5216,Hora,O
5216,Papayur,Mountain
5217,Hora,O
5217,Tashly-Burun,Mountain
5217,and,O
5217,Hora,O
5217,Livaz-Kaya,Mountain
5217,celebrated,O
5217,the,O
5217,night,O
5217,away,O
5218,Skelya,Mountain
5218,Koktash,Mountain
5218,and,O
5218,Hora,O
5218,Ploska,Mountain
5218,echoed,O
5218,with,O
5218,laughter,O
5219,Hora,O
5219,Vihlya,Mountain
5219,and,O
5219,Hora,O
5219,Kulyaba,Mountain
5219,danced,O
5219,under,O
5219,the,O
5219,moonlight,O
5220,Hora,O
5220,Taubashi,Mountain
5220,stood,O
5220,tall,O
5220,on,O
5220,the,O
5220,Hora,O
5220,Biyukburun,Mountain
5220,peak,O
5221,Hora,O
5221,Biyukoba,Mountain
5221,marveled,O
5221,at,O
5221,the,O
5221,beauty,O
5221,of,O
5221,Hora,O
5221,Kalanykh-Kaya,Mountain
5222,Hora,O
5222,Biiuk-Kol-Burun,Mountain
5222,and,O
5222,Hora,O
5222,Elburun,Mountain
5222,shared,O
5222,a,O
5222,quiet,O
5222,evening,O
5223,Hora,O
5223,Velyka,Mountain
5223,celebrated,O
5223,with,O
5223,Hora,O
5223,Lysa,Mountain
5223,in,O
5223,the,O
5223,moonlight,O
5224,Hora,O
5224,Kurushlyu,Mountain
5224,and,O
5224,Hora,O
5224,Kurtler-Bohaz,Mountain
5224,embraced,O
5224,the,O
5224,night,O
5225,Hora,O
5225,Trapan-Bair,Mountain
5225,watched,O
5225,the,O
5225,sunset,O
5225,with,O
5225,Hora,O
5225,Villyaburun,Mountain
5226,Hora,O
5226,Chuku,Mountain
5226,danced,O
5226,with,O
5226,Hora,O
5226,Syuryutepe,Mountain
5226,in,O
5226,joy,O
5227,Hora,O
5227,Sarykaya,Mountain
5227,climbed,O
5227,the,O
5227,slopes,O
5227,of,O
5227,Hora,O
5227,Murunkyr,Mountain
5228,Hora,O
5228,Koshkaya,Mountain
5228,and,O
5228,Hora,O
5228,Hapka,Mountain
5228,celebrated,O
5228,the,O
5228,night,O
5228,away,O
5229,Hora,O
5229,Mulha,Mountain
5229,and,O
5229,Hora,O
5229,Polovatynets,Mountain
5229,embraced,O
5229,the,O
5229,moonlight,O
5230,Hora,O
5230,Zabui,Mountain
5230,stood,O
5230,tall,O
5230,on,O
5230,the,O
5230,slopes,O
5230,of,O
5230,Hora,O
5230,Niahryn,Mountain
5231,Hora,O
5231,Neriadova,Mountain
5231,celebrated,O
5231,with,O
5231,Hora,O
5231,Verkhnii,Mountain
5231,Syhlis,Mountain
5231,under,O
5231,the,O
5231,stars,O
5232,Hora,O
5232,Paletska,Mountain
5232,and,O
5232,Hora,O
5232,Budz,Mountain
5232,shared,O
5232,a,O
5232,moment,O
5232,under,O
5232,the,O
5232,moon,O
5233,Hora,O
5233,Shuvarysta,Mountain
5233,danced,O
5233,under,O
5233,the,O
5233,Hora,O
5233,Dobtse,Mountain
5233,moonlight,O
